id,document,label
8138756,"[11644, 8355, 7989, 3038, 1, 1, 10557, 13086, 14207, 3270, 13477, 13768, 10825, 10943, 4234, 14329, 10627, 11513, 10943, 5400, 10531, 7097, 842, 3045, 10627, 4133, 11009, 2287, 4133, 11009, 81, 96]",0
8828104,"[10634, 11676, 5322, 14952, 14207, 3354, 81, 5375, 1371, 11517, 14207, 1505, 7729, 3270, 12716, 14207, 1505]",1
9324391,"[3653, 842, 5069, 9327, 4182, 81, 6772, 14294, 7105, 5045, 1391, 12317, 9904, 10531, 5047, 5003, 14321, 81, 10111, 6533, 1030, 10634, 9109, 10038, 10557, 5224, 4179, 10711, 9659, 4802, 5022, 7819, 11149, 3379, 3811, 3154, 10531, 11642, 4802, 12030, 1505, 8445, 3354, 81]",1
6189149,"[1, 10634, 4538, 6187, 842, 2130, 10603, 12186, 10557, 11287, 10665, 9077, 842, 3045, 5632, 14207, 1505, 11450, 11149, 3045, 13005, 683]",1
10173884,"[9630, 9912, 4348, 13123, 10634, 6416, 3270, 11676, 9327, 10006, 12080, 4818, 2670, 6416, 7620]",0
9367511,"[5551, 11787, 1, 2, 3, 11060, 2141, 12738, 7406, 6509, 9659, 81, 14950, 14207, 1505, 2264, 10634, 11998, 8567, 12251, 3270, 9659]",1
4345162,"[8160, 10557, 4040, 1505, 8445, 12251, 1, 8567, 682]",0
3314609,"[9912, 56, 111, 1, 10703, 13913, 10603, 5750, 3852, 9221, 7819, 9302, 9307, 3782, 9659]",0
9974188,"[14356, 11998, 8567, 14207, 3270, 7105, 5003, 6416, 7810, 81, 2964, 10634, 3316, 9530, 10634, 3316, 14618, 14207, 12251, 5047, 1505, 81, 111]",1
9087903,"[12783, 9392, 11967, 1260, 1022, 10634, 4189, 12317, 6551, 5475, 4037, 3270, 9659]",1
9001900,"[7843, 3611, 10603, 11178, 5003, 10611, 9305, 2831, 6256, 3270, 8984, 81, 8567, 1, 2329, 3852, 5998, 3852, 3249, 7819, 842, 9302, 3354, 81, 11809, 842, 8582, 3379, 7347, 7061, 81]",0
6119144,"[10634, 11676, 5322, 463, 8202, 4683, 7551, 14294, 7646]",1
6338065,"[10636, 6416, 4659, 3911, 1735, 2457, 1, 792, 1425, 10531, 3611, 5032, 81]",1
8035299,"[7977, 10703, 2704, 10011, 4552, 8453, 14379, 4326, 11801, 5259, 9177, 81, 1, 7263, 2493, 3270, 5905, 9327, 1, 14207, 1505, 1985, 842, 1, 14498, 3193, 10557, 879, 4326, 9290, 15062, 14526, 3354, 3307, 81, 81, 791]",1
9844390,"[10473, 81, 96, 11412, 9077, 2, 2]",0
335036,"[5045, 10531, 2233, 4802, 11830, 6256, 3270, 9659, 81, 96, 8687, 10634, 5046, 2848, 3270, 9659, 81, 96]",0
9620649,"[12089, 12817, 3979, 12736, 14562, 3354, 792]",0
5886905,"[2141, 9358, 6416, 8279, 6700, 4189, 9330, 12020, 14207, 12317, 3443, 6071, 8567, 6509, 11459, 3270, 11450, 11149, 3045, 81, 111]",1
9703225,"[6861, 4683, 6947, 5357, 6284, 10531, 3937, 5346, 816, 81, 1032, 6071, 8681, 1386, 2457, 7262, 3285]",1
6976779,"[14692, 745]",1
1369193,"[11697, 9007, 4196, 3316, 81, 81, 4958, 9327, 1973, 10603, 5444, 81, 81, 9460, 10634, 5046, 2848, 3280, 81]",1
5711130,"[5690, 2024, 14379, 5047, 10634, 9302, 10578, 684, 9659, 6416, 3270, 1371, 1, 7872, 10634, 3354, 683]",0
4958222,"[11490, 9327, 6601, 3285, 11413, 9177, 81]",1
10256217,"[9659, 2924, 1, 10943, 7561, 81, 96, 10858, 3270, 6416, 5322, 8868, 1361]",0
2093720,"[8567, 11414, 3354, 81]",1
9666512,"[11712, 5047, 13427, 1505, 12917, 8517, 4326, 11934, 5250, 81, 96, 175, 11639, 12125]",1
9532232,"[296, 1777, 10603, 10306, 14415, 10557, 8878, 221, 8160, 10634, 9618, 3354, 81, 296, 1777, 3270, 14952, 14294, 9659, 9618, 8143, 81]",0
6768701,"[11414, 1867, 81, 96]",1
10040767,"[11782, 10557, 10634, 4274, 4683, 12251, 9077, 2670, 7406, 3501, 14294, 4702, 9659, 12132, 8868, 8922, 3737, 81, 1, 9659, 11283, 8567, 808]",0
7958656,"[10711, 3477, 9659, 11998, 8567, 14425, 6627, 1213, 11513, 10943, 9659, 4683, 14374, 3728, 2758, 10508, 11998, 1391, 8143, 1505, 3087, 3694, 10531, 9967, 10170, 4802, 14207, 8279, 1322, 350, 14741, 10436, 970, 11173, 6700, 4189, 1701, 3170, 6071, 10531, 11533, 1, 3352, 10531, 12781, 10557, 8809, 6071, 1505, 2633, 3270, 1294, 350, 9967, 14695, 3352, 1, 3352, 10531, 3170, 6071, 8681, 3991, 6700, 10557, 15115, 1371, 14526, 2761]",0
8433181,"[8567, 12308, 14440, 81, 96, 8404, 14477, 6601, 3285, 12647, 8404, 14294, 1371, 2730, 9077, 6711, 9252, 11414, 9077, 12465, 1229, 9007, 7347, 14526, 3285, 9232]",0
7960732,"[11450, 11149, 1371, 11287, 6601, 8143]",1
7177534,"[11675, 14787, 8258, 4994, 9327, 3432, 3852, 5905, 1, 3782, 1327, 14008, 14477, 967, 967, 9188, 3270, 7105, 1701, 7071, 3270, 1327, 4914, 4048, 1361, 1141, 10537, 12892, 9327, 1, 842, 4641, 10634, 4552, 5907, 1229, 6533, 4326, 10038, 10634, 7831, 14207, 1371, 2670, 9952, 2012, 4107, 4683, 4641, 10603, 5375, 1371, 902, 11513, 10634, 1505, 1, 7018, 10557, 2515, 3354, 7018, 1505, 12683, 12793, 791, 56, 10711, 13110, 1, 6571, 5573, 9659]",0
9397938,"[14578, 5003, 11274, 4202, 1720, 14008]",0
6215970,"[251, 6608, 11054, 8636, 11248, 7348, 3038, 792, 792, 791]",0
8369081,"[8040, 3270, 5610, 175, 11639, 2]",1
4303217,"[8567, 11683, 11412, 3270, 9659, 81, 111, 8062, 3852, 6397, 8984, 3852, 6397]",0
5984359,"[13108, 14294, 369, 2193, 5567, 4802, 6509, 4234, 14294, 3250, 81, 2349, 14188, 5360, 2040, 12159, 919, 6399, 11105, 81]",0
8741248,"[174, 11639, 3852, 8576, 9659, 81, 111, 13421, 13443, 3852, 8576, 9659, 81, 111, 5741, 7185, 9327, 9215, 1845, 1, 81, 111, 5047, 14207, 1505, 8445, 10531, 6531, 10557, 11683, 12308, 14207, 1505, 2333, 1371, 5047, 14207, 1505, 11149, 3354, 81, 10634, 14294, 12132, 1, 2632, 2457, 6601, 3354, 81, 3]",0
3546745,"[1182, 1128, 9526, 14374, 6416, 3270, 2264, 10634, 4541, 350, 9936, 7263, 13301, 14294, 9659, 683, 9936, 11998, 8567, 682, 10711, 9659, 683]",1
3268932,"[6397, 11412, 9312, 9177, 81, 81]",0
2912369,"[2966, 10634, 9659, 554, 9358, 6150, 14425, 2546, 6416, 8158, 2333, 81, 493]",1
5552042,"[5214, 2719, 8936, 9328, 9292, 13671, 4802, 14294, 2549, 81, 96, 2155, 9327, 6416, 2203, 4172, 6840, 2193, 11966, 706]",0
2216553,"[12936, 3354, 13766, 434, 10636, 10636, 9159, 1912, 3811, 9302, 2670, 81, 81, 6858, 6019, 826, 81, 826]",1
8605164,"[3723, 8868, 5870, 10944, 12454, 12308, 14207, 1505, 9463, 12090, 5444, 3270, 4187, 2203, 8387, 1371, 1, 3270, 5444, 1505, 14907, 81, 81, 9659, 6416, 3355, 12308, 14477, 4446, 2748, 2801, 14409, 14477, 1, 3924, 8582, 4185, 81, 81]",0
968293,"[6404, 175, 1145, 842, 8582, 12251, 8866, 10531, 9659]",1
8403642,"[2920, 3001, 889, 2026, 350, 4802, 9937, 4278, 14294, 9659, 81, 81, 3653, 3270, 3691, 9967, 11479, 1313, 81, 81, 333, 8912, 1030, 9328, 5655, 1505, 8445, 3354, 81, 81, 6528, 10634, 10634, 9659, 4802, 6416, 5322, 12446, 10497, 11414, 3290, 81, 81]",0
8182761,"[12446, 14294, 3477, 3443, 3477, 9659, 81, 7105, 10603, 7242, 10557, 81, 3075, 4802, 81, 14294, 2691, 10603, 14294, 8234, 10557, 11287, 6261, 2974, 11998, 10531, 9659, 81]",1
124357,"[13971, 10557, 4066, 1505, 1, 2012, 5599, 56, 10634, 5599, 10634, 4179, 970, 9327, 7732, 14207, 3354]",1
4410836,"[5357, 1145, 10603, 9659, 4802, 7465, 9077, 3157, 8922, 3045, 81]",0
5944476,"[1594, 1691, 5346, 81]",1
3358074,"[13776, 11513, 10943, 3098, 9979, 9392, 8666, 3852, 3249, 7819, 9302, 9312, 10578, 81, 10102, 4978, 2671, 2, 14207, 1505, 5823, 14207, 1371, 10000, 3270, 2549]",0
8563853,"[1194, 11513, 10497, 10711, 6720, 12002]",1
482620,"[2233, 4802, 12824, 14207, 1371, 1, 81]",0
9230661,"[12454, 1032, 11513, 10634, 1505, 14790, 3270, 9659]",1
4897117,"[6916, 7482, 4802, 4278, 14207, 4657, 14526, 12317, 56, 9569, 9529, 956, 3354, 9318, 10634, 4475, 11683, 8860, 3045, 81]",0
1495879,"[9133, 10557, 4326, 12454, 11414, 1371, 6601, 3354]",1
3444852,"[11459, 3270, 10636, 6416, 1505, 11683, 2632, 2670, 5326, 3852, 1494, 10183, 10634, 2611, 12251, 8866, 3733, 81, 81, 11683, 3001, 1032, 11513, 3045]",1
1089518,"[5720, 10603, 15109, 2012, 4189, 5003, 10603, 1201, 11705, 4107, 9327, 7927, 1]",0
5481717,"[14025, 10634, 4936, 9327, 4189, 9312, 3782, 9659, 9618, 9177, 682]",1
4760526,"[10946, 11513, 10497, 13737, 9558, 10603, 13881, 10634, 4476, 13978, 3154, 1371, 12030, 3270, 14547, 3270, 1, 81, 96]",0
10260038,"[117, 795, 11809, 842, 8582, 3354]",0
9804756,"[2801, 12454, 11413, 1371, 6556, 3432, 6572, 2588, 11450]",1
4234539,"[6259, 1292, 6256, 1505, 9510, 8071, 9327, 3270, 12907]",0
7372169,"[10506, 14294, 5035]",1
9849723,"[4958, 9327, 2284, 12737, 1505, 11443, 11355, 2457, 11149, 9312, 10508, 3728, 11998, 8922, 10557, 1229, 1141, 10531, 3811, 8691, 3045, 81, 814, 9416, 13742, 5310, 4683, 11352, 4802, 12000, 1, 7729, 3852, 4936, 9327, 4189, 9312, 1505, 11413, 1371, 1038, 14526, 3045, 81]",1
6359897,"[13432, 14086, 10634, 12317, 9638, 3270, 4392, 1505, 8062, 1879, 10531, 1, 3250, 11105, 12600, 13955, 1, 11723, 5224, 10557, 1292, 9302, 3270]",0
3850751,"[2024, 11884, 10557, 12623, 1505, 8445, 9159, 5017, 9659, 4476, 7347, 4055, 11676, 3354, 81]",0
7416043,"[1, 350, 3316, 10634, 12317, 11998, 3354]",1
10238562,"[11054, 10943, 4189, 9328, 10634, 9659, 4802, 13005, 14321, 14294, 2670, 3270, 5375, 12018, 4802, 12465, 5210, 12251, 1505, 1, 10557, 7473, 6071, 8922, 3354]",1
1793931,"[13048, 3134, 3782, 11355, 10634, 3432, 11442, 4037, 3270, 7872, 9327, 5003, 1, 3270, 9659, 81, 83]",0
3411554,"[12855, 9659, 3447, 3782, 1229, 1141, 8713, 2]",1
6052095,[564],1
9880655,"[1691, 9659, 4722, 11764, 81, 81, 6051, 5577, 816]",1
6132613,"[12454, 3001, 11414, 1371, 6601, 9177, 790, 4958, 9327, 8049, 8724, 11118, 14477, 3728, 14541, 14526, 10578, 81, 157]",1
5361364,"[12682, 1505, 8651, 3354, 81, 7613, 9392, 10711, 9659, 3852, 14198, 14207, 3354]",1
2552237,"[11683, 2546, 6416, 7651, 14207, 3270, 81, 81, 3001, 4936, 8778, 81, 81, 14666, 10603, 5400, 11132, 81]",1
9237737,"[10059, 8540, 81, 111, 792, 1563, 14526, 3354, 81, 96, 9860, 5003, 9327, 8952, 1141, 10531, 1229, 2758, 3038, 56, 56, 56]",0
9425237,"[14236, 9327, 11070, 4703, 14294, 4916, 10825]",1
6061784,"[12159, 221, 4326, 2141, 1, 9358, 6601, 3782, 9659, 350, 2037, 10603, 1032, 10557, 12999, 10497, 3740, 10557, 7819, 6018, 9327, 9302, 3270, 8549, 14415, 350]",1
2003322,"[920, 10059, 6861, 10944, 81, 81, 1226, 11705, 3157, 1505, 6416, 7620, 81, 81, 11788, 4339, 9327, 174, 11639]",0
1637467,"[2442, 10531, 11623, 56, 5552, 14415, 56, 11625, 14415, 2096, 6850, 81, 123]",1
9893394,"[2999, 4499, 842, 9007, 14440, 11784, 12059, 10497, 4323, 13079, 3270, 11355, 1958]",0
9446794,"[9702, 3352, 10603, 7106, 10557, 8376, 14207, 8279, 5443, 3352]",1
8811428,"[11802, 5187, 4844, 8234, 2564, 5750, 14214, 4683, 8428, 11639, 10531, 13047, 14207, 3354, 792]",1
7088507,"[11450, 3579]",1
