id,document,label
149123,"[10519, 712, 8984, 12556, 1]",1
7695803,"[13978, 10634, 10637, 8600, 12251, 11450, 2670, 1371, 6601, 3285]",1
4922995,"[11196, 10603, 12998, 14294, 4122, 1701, 10946, 10603, 10041, 9327, 3705, 2984, 11513, 10943, 8214, 10557, 6422, 3354, 81]",1
325048,"[2236, 10634, 10603, 8534, 8202]",0
9464341,"[2915, 7346, 10603, 12936, 10603, 9659, 81, 899, 10634, 5225, 14506, 81]",1
5152853,"[11414, 3785]",1
9950932,"[4277, 14294, 2964, 10634, 12317, 3001, 3301, 1505, 12308, 14207, 3354]",0
8190690,"[14310, 9659, 10603, 14676, 81, 96]",0
26907,"[7106, 8928, 9358, 3270, 3924, 3852, 14198, 9302, 3354, 2, 2, 8866, 6416, 8279, 6700, 4189, 10531, 2546, 6416, 8158, 2333, 81, 81, 13005, 2]",1
3071675,"[8202, 12159, 919, 8573, 14294, 11408, 81, 81, 3432, 6416, 3316, 8318, 14207, 2203, 2457, 14207, 3354, 81, 81]",1
8102518,"[8567, 81, 81, 11683, 7000, 2633, 9027, 81, 81, 6430, 6430, 10711, 4133, 4802, 4408, 12833, 3038, 81, 81, 1014, 8062, 842, 7194, 10497, 842, 1505, 81, 1, 1, 9302, 3270, 11534, 10603, 9545, 81, 96, 11249, 3270, 3179, 81, 1030, 3270, 4408, 3179, 81, 9239, 7989, 1505, 1187, 7548, 3852, 9302, 1505, 81, 10637, 5690, 306, 3062, 3611, 4133, 3852, 8600, 1505, 81, 81, 8567, 81, 9196, 9077, 81]",0
9216395,"[4833, 3333, 10634, 9327, 8113, 4538, 7160, 5444, 4683, 13028, 14207, 3270, 1361, 9979, 9327, 3270, 2024, 8623, 10059, 13840, 81, 8936, 4189, 12090, 12159, 5835, 13232, 4860, 3852, 11149, 9159, 12536, 10382]",0
9293699,"[10636, 9249, 2632, 2761, 350, 10886, 12261, 3045]",0
3123735,[6397],0
6935193,"[763, 763]",1
232669,"[10711, 8534, 9659, 4802, 81, 81, 14253, 3047, 13978, 10531, 5838, 10557, 1371, 5483, 4049]",0
9918232,"[11018, 8057, 6430, 2071, 10147, 9659]",1
5986724,"[10711, 13978, 6071, 3270, 9659, 3270, 10634, 9659, 842, 12829, 10634, 3038, 81, 81]",0
9235758,"[8567, 81, 96, 1, 81, 96, 2317, 4326, 3852, 5254, 3354, 7347, 14526, 3285, 12267, 10531, 2593, 9358, 1, 8556, 842, 2745, 11676, 4683, 1, 8902, 10634, 3045, 1, 2078, 5254, 1371, 2735, 3290, 81, 96, 7312, 9912, 14489, 11683, 11683, 11287, 4035, 10578, 11998, 1391, 9177, 1, 10786, 3852, 5260, 12317, 2042, 1913, 9626, 10634, 12556, 2, 2, 10273, 10634, 7000, 9725, 2203, 5003, 2232]",1
9566770,"[5151, 11513, 10943, 9659, 2, 4243, 4189, 10634, 11683, 12571, 10578, 81, 81, 81, 12416, 56, 1, 2, 1, 12561, 5190, 712]",1
7937827,"[13362, 11009, 5463, 3354, 81, 9510, 81, 12193, 4326, 10634, 9659, 6416, 1505, 9290, 1032, 5224, 9312, 3782, 81, 96, 11586, 5813, 4301, 3270, 9302, 3354, 81, 2024, 8936, 842, 11586, 7746, 9358, 7228, 10531, 10825, 3354, 81]",1
10186179,"[2024, 3572, 9302, 3354, 9077, 1]",0
3667733,"[11759, 222, 3062, 11533, 10497, 3949, 9659]",0
570256,"[13978, 175, 10634, 4476, 8539, 3143, 4189, 5360, 2990]",0
2222876,"[10711, 1371, 12454, 9659, 3354, 56, 6315, 10531, 12381, 11372, 10059, 10634, 8600, 3354]",1
2679971,"[12169, 9758, 9327, 1311, 3057, 1, 1175, 10634, 3057, 2037, 6416, 5322, 7336, 5077, 10634, 11149, 10557, 4234, 8445, 3057, 81, 81]",1
7198796,"[12556, 10634, 3354]",1
9462146,"[10714, 7819, 842, 1, 9327, 1, 10634, 9302, 3381]",0
9585528,"[5625, 9659, 842, 1014, 13650, 14207, 3270, 3811, 1344, 1, 3270, 2021, 1314, 9659, 1141, 3045, 11414, 9177, 682]",1
9791805,"[12979, 11132, 81, 81, 2879, 10603, 4700]",1
6818700,"[1, 9327, 13856, 10634, 8866, 4206, 3354, 81]",0
7228707,"[1, 7491, 3352, 1701, 5771, 2342, 7106, 7149, 12454, 12536, 2670, 3045, 3574, 14477, 12749, 3942, 1505, 8445, 9077, 12251, 3045]",0
9240597,"[5778, 14207, 3354, 2801, 5690, 842, 5690, 12251, 5380, 1390, 3742, 81, 96]",0
4528140,[131],0
9383796,"[3038, 682, 3448, 8868, 5870, 81, 111]",0
7525819,"[5693, 4723, 13751, 1391, 9077, 81, 81, 2024, 13163, 14294, 1229, 12251, 81, 81, 8095, 1, 655, 3270, 4971, 11811, 9328, 1, 6071, 1505, 5022, 9312, 1391, 9077, 81, 81, 306, 3062, 3611, 14310, 8945, 10531, 11054, 8943, 1, 10634, 4476, 6416, 5322, 4060, 81]",0
1226322,"[10200, 5326, 3852, 1032, 11513, 10634, 3354]",1
10108572,"[6569, 10603, 11892, 14294, 13376, 10634, 4991, 81]",1
9830799,"[13978, 10634, 3001, 3154, 8567, 11907, 14321, 56, 56, 278, 11639, 12525, 9659, 3354, 56, 56, 9659, 4802, 3354, 6509, 14907, 4129, 3270, 7347, 330, 5690, 12251, 10634, 9659, 350, 8904, 9302, 3270, 9659]",0
7484636,"[4993, 4993, 10810, 10634, 11801, 6397, 3354]",0
5854399,"[7729, 3270, 11998, 10537, 11607, 5483, 7213, 3354, 81]",0
5978882,"[1994, 1994, 3001, 1995]",1
4493313,"[8062, 842, 11644, 10788, 14207, 1371, 15032, 81, 96]",0
1412396,"[6416, 3270, 2924, 12308, 14526, 3354]",0
7299850,"[15044, 81, 96, 10711, 9659, 5013, 3270, 7105, 4189, 6416, 5322, 9976, 14757, 8408, 14294, 12793, 14207, 3270, 6379, 11030, 1229, 1141, 3379, 81, 96]",0
9897440,"[12116, 3852, 7106, 10557, 1, 10557, 7899, 9302, 9077, 10711, 7106, 14207, 1505, 8445, 3354, 434, 8809, 6509, 7105, 2546, 6416, 7620]",1
8829617,"[11683, 81, 81, 1442, 14207, 2203, 11533, 2458, 3354, 5069, 9327, 4189, 9312, 3285, 56, 10927, 842, 842, 12251, 8866, 3045, 81, 9116, 7106, 10634, 8605, 4012, 10497, 1442, 10557, 14207, 1505, 56, 1442, 14907, 1, 10557, 5005, 3432, 1704, 9327, 14526, 3782, 7106, 10557, 12999, 14207, 3290, 81, 96, 6187, 4552, 9530, 9638, 5373, 11998, 8922, 12317, 56, 2964, 5322, 9360, 13005, 14207, 1505, 8445, 12251, 8866, 3045, 81]",0
9751090,"[11998, 10531, 9659, 81, 11998, 10531, 9659, 81, 11998, 10531, 9659, 81]",1
10149543,"[10693, 9659, 9327, 175, 11639, 12122, 8936, 4189, 10531, 6209, 14119, 9659, 9327, 1752, 4048, 12067, 4189, 10634, 4475, 5838, 9077, 10617, 13079, 8866, 3280]",0
9070911,"[9659, 12892, 9327, 1, 9328, 12107, 10531, 6233, 10531, 1704, 1, 10603, 8008, 10603, 14835, 10634, 1505, 56, 9659, 4958, 9327, 12107, 10531, 6233, 10531, 1, 10603, 14835, 81, 2096, 1704, 1, 10634, 9312, 3782, 2096, 1825, 9358, 13025, 14294, 8147, 4413, 1704, 10603, 1, 4683, 9251, 12107, 10531, 14907, 6233, 10497, 14835, 14207, 9416, 4415, 10531, 11030, 10557, 3599, 1391, 12251, 81, 5375, 13183, 3270, 14214]",1
8735651,"[4102, 7971, 3833, 238, 9912, 1141, 10531, 2193, 10603, 9659, 81, 8160, 2900, 4930, 9725, 81]",0
